,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367,0.077443783452367
error_90,0.086250370345939,0.005799372323461,0.001914791766395,0.086955662298128,0.083439453223866,0.080446791022692,0.083547397755048,0.026495254805929,0.016833914352488,0.050948989423999,0.004600627432707,0.01001606039895,0.000595947556615,0.015290353224568,0.085676299366591,0.00206368619211,0.318153296650256,0.007936395745274,0.005228750502055,0.001291168334274,0.002140077821012,0.000897440995326,0.003510487391718
error_80,0.091515151515152,0,0.001914791766395,0.094356016989947,0.093802495183993,0.08425309895651,0.069069895432031,0.009803293839918,0.000850868214492,0.038372488502724,0.000405022276225,,0.000862068965517,0.005507943072511,0.091373038507989,0,0.318153296650256,,0.000394788787998,0,0,0,0
error_70,0.1129330220181,0,0.001914791766395,0.107232003701539,0.108821830829142,0.091743803700326,0.023481951076678,0.005045268040317,0.000862068965517,0.029315029315029,0,,0.000862068965517,0.003505878766734,0.093075337761744,0,0.318153296650256,,0,0,0,0,0
error_60,0.196927557097049,0,0.001914791766395,0.129098860511687,0.129376116639648,0.095395703803127,0.000831946755408,0.001645270051222,0,0.025034584804692,0,,,0.002450369718261,0.086810166276301,0,0.318153296650256,,0,0,0,0,0
error_50,0,0,0.001914791766395,0.170918450658058,0.144230769230769,0.103402401149585,0,0,0,0.020073139283464,0,,,0.001848591549296,0.097210113339146,0,0.318153296650256,,0,0,0,0,0
error_40,0,0,0.001914791766395,0.33856783919598,0.275984455376598,0.136605182257356,0,0,0,0.000418585182085,0,,,0.00225057738892,0.002110595187843,0,0.318153296650256,,0,0,0,0,0
error_30,0,0,0,0,0,0.150975300440848,0,0,0,0,0,,,0.000621504039776,0.001148765077542,0,0.018367346938776,,0,,,,0
error_20,0,0,0,0,0,0.001666666666667,0,0,0,0,0,,,0,,0,0.018367346938776,,0,,,,0
error_10,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,
